datetime,total_demand,HourlyDryBulbTemperature,HourlyWetBulbTemperature,holiday,weekday
2019-01-01 00:00:00,19905.307715500003,52.0,50.0,1,2
2019-01-01 01:00:00,19611.746257000003,52.0,50.0,1,2
2019-01-01 02:00:00,19465.00686916667,53.5,50.0,1,2
2019-01-01 03:00:00,19228.690267000005,51.0,48.0,1,2
2019-01-01 04:00:00,18911.524089166665,47.0,46.0,1,2
2019-01-01 05:00:00,18801.615169333338,42.5,40.5,1,2
2019-01-01 06:00:00,18766.22002066667,40.0,37.333333333333336,1,2
2019-01-01 07:00:00,18751.434017500007,39.5,37.0,1,2
2019-01-01 08:00:00,18717.12604166667,38.0,36.0,1,2
2019-01-01 09:00:00,18713.625260833338,37.0,35.0,1,2
2019-01-01 10:00:00,19038.205371833337,37.0,35.0,1,2
2019-01-01 11:00:00,19500.280273833323,36.0,34.0,1,2
2019-01-01 12:00:00,19678.137272333337,35.0,33.0,1,2
2019-01-01 13:00:00,19598.15100983333,35.0,33.0,1,2
2019-01-01 14:00:00,19574.748633000003,34.0,31.0,1,2
2019-01-01 15:00:00,19584.658562166664,32.0,30.0,1,2
2019-01-01 16:00:00,19694.912988499997,31.0,29.0,1,2
2019-01-01 17:00:00,19724.255338833336,30.0,28.0,1,2
2019-01-01 18:00:00,19768.264778833338,29.0,27.0,1,2
2019-01-01 19:00:00,19689.738671833336,28.5,26.5,1,2
2019-01-01 20:00:00,19669.967513500003,27.0,25.0,1,2
2019-01-01 21:00:00,19894.406543666664,26.0,24.0,1,2
2019-01-01 22:00:00,20006.65904966667,25.0,23.0,1,2
2019-01-01 23:00:00,19865.206185833336,25.0,23.0,1,2
2019-01-02 00:00:00,19838.905729833335,24.0,22.0,1,3
2019-01-02 01:00:00,19554.39544333333,24.0,22.0,1,3
2019-01-02 02:00:00,19493.956152500003,25.0,23.0,1,3
2019-01-02 03:00:00,19317.64987083333,25.0,23.0,1,3
2019-01-02 04:00:00,19101.175130999996,26.0,24.0,1,3
2019-01-02 05:00:00,19033.741894833336,25.0,23.0,1,3
2019-01-02 06:00:00,18949.48919333333,26.0,24.0,1,3
2019-01-02 07:00:00,18959.217415666666,26.0,24.0,1,3
2019-01-02 08:00:00,18961.2094405,26.0,24.0,1,3
2019-01-02 09:00:00,19116.77197333333,27.0,25.0,1,3
2019-01-02 10:00:00,19429.308789833343,28.0,26.0,1,3
2019-01-02 11:00:00,20325.525098333328,28.666666666666668,26.33333333333333,1,3
2019-01-02 12:00:00,21266.111491666667,32.0,29.0,1,3
2019-01-02 13:00:00,22108.308268333334,32.0,29.0,1,3
2019-01-02 14:00:00,22721.30078200001,32.0,29.0,1,3
2019-01-02 15:00:00,23214.20048883334,31.0,29.0,1,3
2019-01-02 16:00:00,23075.945378166667,30.75,28.75,1,3
2019-01-02 17:00:00,23101.551921333335,31.0,29.0,1,3
2019-01-02 18:00:00,22992.518684833343,31.5,29.5,1,3
2019-01-02 19:00:00,22947.621452166673,31.5,29.75,1,3
2019-01-02 20:00:00,22800.49335983333,31.0,30.0,1,3
2019-01-02 21:00:00,22430.070247500003,30.75,30.25,1,3
2019-01-02 22:00:00,21579.100553833337,30.875,30.875,1,3
2019-01-02 23:00:00,20851.431771666666,32.0,32.0,1,3
2019-01-03 00:00:00,20523.79593133333,32.0,32.0,1,4
2019-01-03 01:00:00,20035.229135000005,32.666666666666664,32.666666666666664,1,4
2019-01-03 02:00:00,19829.35895216666,35.0,34.0,1,4
2019-01-03 03:00:00,19659.977832000004,35.333333333333336,34.666666666666664,1,4
2019-01-03 04:00:00,19376.839193333333,34.0,32.5,1,4
2019-01-03 05:00:00,19230.775521000007,34.0,32.0,1,4
2019-01-03 06:00:00,19097.503808833335,34.0,32.0,1,4
2019-01-03 07:00:00,19071.231771833332,34.0,31.5,1,4
2019-01-03 08:00:00,19052.762076666673,34.0,31.0,1,4
2019-01-03 09:00:00,19247.538640333336,34.0,31.0,1,4
2019-01-03 10:00:00,19776.251497,34.0,31.0,1,4
2019-01-03 11:00:00,20431.691536833336,33.0,30.0,1,4
2019-01-03 12:00:00,21425.62591166667,33.0,30.0,1,4
2019-01-03 13:00:00,22251.906510833338,33.5,30.5,1,4
2019-01-03 14:00:00,22801.770280499997,33.0,30.0,1,4
2019-01-03 15:00:00,23010.518326666668,33.0,30.0,1,4
2019-01-03 16:00:00,23151.539713666672,33.0,30.0,1,4
2019-01-03 17:00:00,23231.957324333336,33.0,30.0,1,4
2019-01-03 18:00:00,23120.791016000006,33.0,30.0,1,4
2019-01-03 19:00:00,23068.33870516667,33.5,31.0,1,4
2019-01-03 20:00:00,22777.13675200001,35.0,32.0,1,4
2019-01-03 21:00:00,22431.262109999996,35.0,32.0,1,4
2019-01-03 22:00:00,21634.862760833345,35.0,32.0,1,4
2019-01-03 23:00:00,21044.63903016667,35.0,32.0,1,4
2019-01-04 00:00:00,20612.90319016667,35.0,32.0,1,5
2019-01-04 01:00:00,20071.354297166657,35.0,32.0,1,5
2019-01-04 02:00:00,19833.844239000005,34.0,31.0,1,5
2019-01-04 03:00:00,19664.4102535,33.0,31.0,1,5
2019-01-04 04:00:00,19353.927376333337,32.0,30.0,1,5
2019-01-04 05:00:00,19261.990592833332,33.0,31.0,1,5
2019-01-04 06:00:00,19174.084765999996,34.0,31.0,1,5
2019-01-04 07:00:00,19136.496126000002,33.5,31.0,1,5
2019-01-04 08:00:00,19202.8345385,35.0,32.0,1,5
2019-01-04 09:00:00,19317.157682333338,37.0,33.0,1,5
2019-01-04 10:00:00,19827.234472666674,39.0,35.0,1,5
2019-01-04 11:00:00,20543.067871000003,43.0,38.0,1,5
2019-01-04 12:00:00,21438.634896333333,49.0,40.0,1,5
2019-01-04 13:00:00,22255.983887333332,49.5,40.5,1,5
2019-01-04 14:00:00,22751.241634500006,50.0,40.0,1,5
2019-01-04 15:00:00,22979.148731166668,49.0,40.0,1,5
2019-01-04 16:00:00,23034.0051765,45.0,38.0,1,5
2019-01-04 17:00:00,22992.09775366668,45.0,38.0,1,5
2019-01-04 18:00:00,22821.563704833334,42.0,37.0,1,5
2019-01-04 19:00:00,22574.930502333336,41.5,36.5,1,5
2019-01-04 20:00:00,22397.04280683333,39.0,35.0,1,5
2019-01-04 21:00:00,21944.646159,40.0,36.0,1,5
2019-01-04 22:00:00,21215.49394616667,37.0,33.0,1,5
2019-01-04 23:00:00,20693.859928999995,35.0,32.0,1,5
2019-01-05 00:00:00,20202.956576666664,31.0,30.0,1,6
2019-01-05 01:00:00,19711.301759000005,31.0,30.0,1,6
2019-01-05 02:00:00,19551.717318,28.0,27.0,1,6
2019-01-05 03:00:00,19430.283529166667,28.0,28.0,1,6
2019-01-05 04:00:00,19103.76640683333,28.0,27.0,1,6
2019-01-05 05:00:00,18969.472461,28.0,27.0,1,6
2019-01-05 06:00:00,18920.345768500003,27.0,26.0,1,6
2019-01-05 07:00:00,18849.69407566667,27.0,26.75,1,6
2019-01-05 08:00:00,18870.70436183333,32.0,31.666666666666668,1,6
2019-01-05 09:00:00,18929.129459166666,36.0,35.666666666666664,1,6
2019-01-05 10:00:00,19161.220769333337,36.0,36.0,1,6
2019-01-05 11:00:00,19477.691374166658,36.0,36.0,1,6
2019-01-05 12:00:00,19744.55634883333,36.66666666666666,36.0,1,6
2019-01-05 13:00:00,19654.630045666676,37.333333333333336,36.0,1,6
2019-01-05 14:00:00,19791.737565500007,38.0,36.0,1,6
2019-01-05 15:00:00,19972.499186833335,38.0,36.0,1,6
2019-01-05 16:00:00,20080.358074000003,37.0,35.0,1,6
2019-01-05 17:00:00,20104.412435500002,36.0,34.0,1,6
2019-01-05 18:00:00,20103.254720500005,36.5,34.5,1,6
2019-01-05 19:00:00,20120.894694500003,36.5,34.5,1,6
2019-01-05 20:00:00,20086.412500000002,36.0,34.0,1,6
2019-01-05 21:00:00,20137.65686883334,38.0,36.0,1,6
2019-01-05 22:00:00,20089.013640166664,40.0,38.0,1,6
2019-01-05 23:00:00,19767.560059166666,40.0,38.0,1,6
2019-01-06 00:00:00,19616.88704383333,40.0,38.0,1,7
2019-01-06 01:00:00,19453.253027499995,39.66666666666666,38.0,1,7
2019-01-06 02:00:00,19299.805533333332,41.0,39.0,1,7
2019-01-06 03:00:00,19224.6944995,39.5,38.0,1,7
2019-01-06 04:00:00,19023.85377616667,40.0,38.0,1,7
2019-01-06 05:00:00,18965.030013500007,40.0,37.5,1,7
2019-01-06 06:00:00,18862.143033833338,38.0,36.0,1,7
2019-01-06 07:00:00,18844.464519000005,37.5,35.0,1,7
2019-01-06 08:00:00,18887.01770883333,37.0,33.333333333333336,1,7
2019-01-06 09:00:00,18857.5001305,37.0,34.0,1,7
2019-01-06 10:00:00,19127.997754833337,37.5,34.0,1,7
2019-01-06 11:00:00,19430.11484399999,37.0,33.5,1,7
2019-01-06 12:00:00,19652.60296216666,34.42857142857143,31.857142857142858,1,7
2019-01-06 13:00:00,19632.583562166667,34.0,30.33333333333333,1,7
2019-01-06 14:00:00,19617.815430000002,33.0,29.0,1,7
2019-01-06 15:00:00,19702.15566450001,34.0,29.0,1,7
2019-01-06 16:00:00,19932.355371333335,31.0,27.0,1,7
2019-01-06 17:00:00,19986.4036785,31.0,26.0,1,7
2019-01-06 18:00:00,20129.804980500005,30.0,26.0,1,7
2019-01-06 19:00:00,20117.568392333334,29.0,25.0,1,7
2019-01-06 20:00:00,20221.484961000002,27.0,23.0,1,7
2019-01-06 21:00:00,20179.764323333333,24.0,20.0,1,7
2019-01-06 22:00:00,20207.97731133333,23.0,20.0,1,7
2019-01-06 23:00:00,20049.285775,24.0,22.0,1,7
2019-01-07 00:00:00,19933.195540166675,23.5,21.0,1,1
2019-01-07 01:00:00,19766.862858166664,22.5,20.5,1,1
2019-01-07 02:00:00,19598.795540333336,21.0,19.0,1,1
2019-01-07 03:00:00,19480.174837333332,22.0,20.0,1,1
2019-01-07 04:00:00,19213.354948166663,22.0,20.0,1,1
2019-01-07 05:00:00,19118.673177166664,21.0,19.0,1,1
2019-01-07 06:00:00,19028.690918166674,21.0,19.0,1,1
2019-01-07 07:00:00,19068.031283166667,20.5,18.5,1,1
2019-01-07 08:00:00,19023.252539666675,20.0,18.0,1,1
2019-01-07 09:00:00,19173.22594400001,21.0,19.0,1,1
2019-01-07 10:00:00,19651.172201000005,22.0,19.0,1,1
2019-01-07 11:00:00,20497.880241333336,23.0,19.0,1,1
2019-01-07 12:00:00,21537.216765,25.0,20.0,1,1
2019-01-07 13:00:00,22422.26982416667,25.5,20.5,1,1
2019-01-07 14:00:00,23042.95585983334,27.0,22.0,1,1
2019-01-07 15:00:00,23470.218685166667,27.0,22.83333333333333,1,1
2019-01-07 16:00:00,23585.529101833337,28.33333333333333,24.33333333333333,1,1
2019-01-07 17:00:00,23584.33925833333,30.0,26.0,1,1
2019-01-07 18:00:00,23566.84397883333,34.0,30.0,1,1
2019-01-07 19:00:00,23455.70533866667,35.0,29.5,1,1
2019-01-07 20:00:00,23259.51884733334,37.0,30.0,1,1
2019-01-07 21:00:00,22718.89752666668,35.0,32.0,1,1
2019-01-07 22:00:00,22040.45927766666,34.5,32.0,1,1
2019-01-07 23:00:00,21277.997526833344,35.0,33.0,1,1
2019-01-08 00:00:00,20871.251107500004,38.0,35.0,1,2
2019-01-08 01:00:00,20487.919694500004,39.0,36.0,1,2
2019-01-08 02:00:00,20219.480436333342,41.0,38.0,1,2
2019-01-08 03:00:00,20004.439811500004,42.0,39.0,1,2
2019-01-08 04:00:00,19624.259570666665,43.0,40.0,1,2
2019-01-08 05:00:00,19400.35712933334,43.0,40.0,1,2
2019-01-08 06:00:00,19331.740332,43.0,40.0,1,2
2019-01-08 07:00:00,19289.922233666664,43.0,40.0,1,2
2019-01-08 08:00:00,19289.104524499995,43.0,40.0,1,2
2019-01-08 09:00:00,19323.115853333333,45.0,42.0,1,2
2019-01-08 10:00:00,19760.28326866667,46.0,43.0,1,2
2019-01-08 11:00:00,20419.58662083334,46.0,43.0,1,2
2019-01-08 12:00:00,21335.580598999997,44.0,41.0,1,2
2019-01-08 13:00:00,22389.56396550001,43.5,40.75,1,2
2019-01-08 14:00:00,23068.997460999995,42.0,41.5,1,2
2019-01-08 15:00:00,23236.3604825,43.0,43.0,1,2
2019-01-08 16:00:00,23297.73346366666,42.5,42.5,1,2
2019-01-08 17:00:00,23485.355990000015,42.5,42.5,1,2
2019-01-08 18:00:00,23428.28525433333,40.5,40.5,1,2
2019-01-08 19:00:00,23278.438020166665,41.0,41.0,1,2
2019-01-08 20:00:00,23009.517090166664,42.0,42.0,1,2
2019-01-08 21:00:00,22580.67275433334,42.5,42.5,1,2
2019-01-08 22:00:00,21944.281869166665,43.0,43.0,1,2
2019-01-08 23:00:00,21213.140136833335,43.0,42.5,1,2
2019-01-09 00:00:00,20842.757291666672,39.0,38.0,1,3
2019-01-09 01:00:00,20245.852442166666,37.5,37.0,1,3
2019-01-09 02:00:00,20037.944661833335,36.0,35.5,1,3
2019-01-09 03:00:00,19700.81653666667,37.0,36.5,1,3
2019-01-09 04:00:00,19390.845475666665,37.0,36.0,1,3
2019-01-09 05:00:00,19288.150684166674,37.0,35.0,1,3
2019-01-09 06:00:00,19304.14309916667,35.5,34.0,1,3
2019-01-09 07:00:00,19245.753190500003,34.25,32.5,1,3
2019-01-09 08:00:00,19226.56311866667,34.0,31.0,1,3
2019-01-09 09:00:00,19277.625098,34.0,31.0,1,3
2019-01-09 10:00:00,19686.578808666665,34.0,31.0,1,3
2019-01-09 11:00:00,20614.294466166673,33.666666666666664,31.33333333333333,1,3
2019-01-09 12:00:00,21808.943945833333,33.0,30.0,1,3
2019-01-09 13:00:00,22511.172493666665,34.333333333333336,30.666666666666668,1,3
2019-01-09 14:00:00,22974.938574666674,32.0,29.25,1,3
2019-01-09 15:00:00,23301.818815333336,31.0,29.0,1,3
2019-01-09 16:00:00,23671.011816500006,30.5,28.0,1,3
2019-01-09 17:00:00,23582.575652166674,30.25,28.0,1,3
2019-01-09 18:00:00,23527.675033000003,30.0,27.0,1,3
2019-01-09 19:00:00,23416.03505833333,29.0,27.0,1,3
2019-01-09 20:00:00,23245.56634133334,28.0,26.5,1,3
2019-01-09 21:00:00,22822.767773333333,27.5,26.0,1,3
2019-01-09 22:00:00,22098.007130166665,27.0,,1,3
2019-01-09 23:00:00,21481.7903975,25.666666666666668,25.0,1,3
2019-01-10 00:00:00,21134.197787500005,25.0,24.0,1,4
2019-01-10 01:00:00,20497.06761149999,25.0,24.0,1,4
2019-01-10 02:00:00,20175.184994166666,24.0,23.0,1,4
2019-01-10 03:00:00,19812.095638000003,24.5,23.5,1,4
2019-01-10 04:00:00,19536.745573666678,24.5,23.5,1,4
2019-01-10 05:00:00,19448.172917,24.0,22.0,1,4
2019-01-10 06:00:00,19351.089876833335,24.0,23.0,1,4
2019-01-10 07:00:00,19342.02295016667,23.25,22.33333333333333,1,4
2019-01-10 08:00:00,19275.784635500004,23.0,,1,4
2019-01-10 09:00:00,19421.756185333328,23.0,22.0,1,4
2019-01-10 10:00:00,19142.136198166667,24.0,22.5,1,4
2019-01-10 11:00:00,20497.47233166667,23.666666666666668,21.666666666666668,1,4
2019-01-10 12:00:00,21574.726172166676,23.666666666666668,21.666666666666668,1,4
2019-01-10 13:00:00,22380.52858066667,24.666666666666668,22.33333333333333,1,4
2019-01-10 14:00:00,23104.85465483333,25.0,23.0,1,4
2019-01-10 15:00:00,23316.517806666667,25.0,23.0,1,4
2019-01-10 16:00:00,23580.786979500004,24.0,22.0,1,4
2019-01-10 17:00:00,23588.094987999997,22.0,20.0,1,4
2019-01-10 18:00:00,23609.975096833336,21.33333333333333,19.33333333333333,1,4
2019-01-10 19:00:00,23469.813184000002,20.666666666666668,18.666666666666668,1,4
2019-01-10 20:00:00,23296.208854666664,18.0,16.0,1,4
2019-01-10 21:00:00,22946.68177066667,16.0,14.0,1,4
2019-01-10 22:00:00,22288.94977283333,15.0,13.0,1,4
2019-01-10 23:00:00,21640.346517166658,15.0,13.0,1,4
2019-01-11 00:00:00,21350.644825000014,14.0,12.5,1,5
2019-01-11 01:00:00,20854.443359499994,14.5,12.5,1,5
2019-01-11 02:00:00,20507.795150333324,14.0,12.0,1,5
2019-01-11 03:00:00,20154.617677,14.0,12.0,1,5
2019-01-11 04:00:00,19839.917253166663,14.0,12.0,1,5
2019-01-11 05:00:00,19777.580534000004,13.5,11.5,1,5
2019-01-11 06:00:00,19680.488965833334,12.0,10.0,1,5
2019-01-11 07:00:00,19641.718522333333,11.333333333333334,9.333333333333334,1,5
2019-01-11 08:00:00,19633.831933499998,12.5,10.5,1,5
2019-01-11 09:00:00,19742.664486166672,14.0,12.0,1,5
2019-01-11 10:00:00,19996.849219166666,15.0,13.0,1,5
2019-01-11 11:00:00,20758.927279500007,16.0,14.0,1,5
2019-01-11 12:00:00,21943.48141283334,17.5,14.5,1,5
2019-01-11 13:00:00,22954.867806333332,18.0,15.0,1,5
2019-01-11 14:00:00,23533.975684666664,19.0,15.0,1,5
2019-01-11 15:00:00,23868.396777833335,18.0,15.0,1,5
2019-01-11 16:00:00,23813.579200166667,17.0,14.0,1,5
2019-01-11 17:00:00,23767.52789716667,16.0,13.0,1,5
2019-01-11 18:00:00,23680.568782833336,13.0,11.0,1,5
2019-01-11 19:00:00,23492.417968333342,13.0,11.0,1,5
2019-01-11 20:00:00,23238.76354266667,12.0,11.0,1,5
2019-01-11 21:00:00,22774.06386733333,11.0,10.0,1,5
2019-01-11 22:00:00,22083.666894666672,14.0,12.0,1,5
2019-01-11 23:00:00,21423.170182500002,15.0,13.0,1,5
2019-01-12 00:00:00,21072.259895666666,17.0,15.0,1,6
2019-01-12 01:00:00,20449.77125666667,17.0,15.0,1,6
2019-01-12 02:00:00,20273.689095500005,18.0,16.0,1,6
2019-01-12 03:00:00,20160.514486000007,18.0,16.0,1,6
2019-01-12 04:00:00,19827.532584333338,19.0,17.0,1,6
2019-01-12 05:00:00,19667.739616833336,19.0,17.0,1,6
2019-01-12 06:00:00,19573.134278166675,19.0,17.0,1,6
2019-01-12 07:00:00,19496.935124500003,19.0,17.0,1,6
2019-01-12 08:00:00,19507.183301,21.0,19.0,1,6
2019-01-12 09:00:00,19490.42688883334,22.0,19.0,1,6
2019-01-12 10:00:00,19696.034082166665,23.0,20.0,1,6
2019-01-12 11:00:00,20091.825586500003,23.5,20.5,1,6
2019-01-12 12:00:00,20342.720769000007,24.0,21.0,1,6
2019-01-12 13:00:00,20282.343978000004,24.0,21.0,1,6
2019-01-12 14:00:00,20445.446680166668,23.33333333333333,20.33333333333333,1,6
2019-01-12 15:00:00,20691.117969166662,22.0,19.0,1,6
2019-01-12 16:00:00,20773.013183833325,20.0,17.0,1,6
2019-01-12 17:00:00,20785.153222833338,20.0,18.0,1,6
2019-01-12 18:00:00,20856.614225999998,21.0,18.0,1,6
2019-01-12 19:00:00,20829.224511833327,20.5,18.0,1,6
2019-01-12 20:00:00,20893.19358733333,20.0,18.0,1,6
2019-01-12 21:00:00,20758.884114666667,19.0,17.0,1,6
2019-01-12 22:00:00,20736.392383000006,18.0,16.0,1,6
2019-01-12 23:00:00,20548.332455000007,18.0,16.0,1,6
2019-01-13 00:00:00,20347.84326166667,16.0,14.0,1,7
2019-01-13 01:00:00,20101.04804733333,16.0,13.5,1,7
2019-01-13 02:00:00,19950.55950533333,15.0,12.0,1,7
2019-01-13 03:00:00,19825.917546333334,14.0,11.0,1,7
2019-01-13 04:00:00,19677.295735499996,14.0,12.0,1,7
2019-01-13 05:00:00,19568.699252333332,14.0,12.0,1,7
2019-01-13 06:00:00,19520.023763499994,14.0,11.0,1,7
2019-01-13 07:00:00,19447.116764500002,14.0,11.0,1,7
2019-01-13 08:00:00,19436.43890016666,14.0,12.0,1,7
2019-01-13 09:00:00,19517.431738166666,16.0,14.0,1,7
2019-01-13 10:00:00,19807.66201183333,18.0,16.0,1,7
2019-01-13 11:00:00,20038.21669949999,19.5,17.5,1,7
2019-01-13 12:00:00,20340.997558666673,20.5,18.5,1,7
2019-01-13 13:00:00,20483.447331499996,20.5,18.5,1,7
2019-01-13 14:00:00,20550.819108333337,20.0,18.0,1,7
2019-01-13 15:00:00,20650.414876500006,20.0,18.0,1,7
2019-01-13 16:00:00,20696.3087245,19.0,17.5,1,7
2019-01-13 17:00:00,20726.152376333328,19.0,18.0,1,7
2019-01-13 18:00:00,20814.016797,20.0,19.0,1,7
2019-01-13 19:00:00,20945.19833983334,20.5,19.5,1,7
2019-01-13 20:00:00,20951.237141500005,21.0,20.0,1,7
2019-01-13 21:00:00,21009.929622666667,21.0,20.0,1,7
2019-01-13 22:00:00,21076.896257000004,21.0,20.0,1,7
2019-01-13 23:00:00,20782.862109333335,21.0,20.0,1,7
2019-01-14 00:00:00,20558.39143883333,20.0,19.0,1,1
2019-01-14 01:00:00,20296.940039166664,20.0,19.0,1,1
2019-01-14 02:00:00,20068.926465666667,19.0,18.0,1,1
2019-01-14 03:00:00,19873.57936233333,19.0,18.0,1,1
2019-01-14 04:00:00,19622.961523833335,19.0,18.0,1,1
2019-01-14 05:00:00,19484.149544166667,18.0,17.0,1,1
2019-01-14 06:00:00,19416.04072266666,18.0,17.0,1,1
2019-01-14 07:00:00,19388.369140666666,17.5,16.5,1,1
2019-01-14 08:00:00,19368.716569333334,17.0,16.0,1,1
2019-01-14 09:00:00,19507.782162333333,18.0,17.0,1,1
2019-01-14 10:00:00,20047.79274133333,20.0,19.0,1,1
2019-01-14 11:00:00,20830.272103666666,21.0,19.5,1,1
2019-01-14 12:00:00,22017.274577,25.0,22.0,1,1
2019-01-14 13:00:00,23004.72874316667,25.0,22.0,1,1
2019-01-14 14:00:00,23630.358268833337,26.0,22.0,1,1
2019-01-14 15:00:00,23994.216212000007,26.0,22.0,1,1
2019-01-14 16:00:00,24052.303841499997,26.0,22.0,1,1
2019-01-14 17:00:00,24152.362728333326,24.0,21.0,1,1
2019-01-14 18:00:00,24091.1392585,22.0,20.0,1,1
2019-01-14 19:00:00,23925.938769666685,20.0,18.5,1,1
2019-01-14 20:00:00,23736.752962333336,19.0,18.0,1,1
2019-01-14 21:00:00,23404.496420166663,19.0,18.0,1,1
2019-01-14 22:00:00,22779.602474,20.0,18.0,1,1
2019-01-14 23:00:00,22153.62093100001,19.0,18.0,1,1
2019-01-15 00:00:00,21627.687663500004,17.5,16.5,1,2
2019-01-15 01:00:00,21117.32985033333,18.666666666666668,17.666666666666668,1,2
2019-01-15 02:00:00,20705.907031666666,25.0,24.0,1,2
2019-01-15 03:00:00,20427.215136833336,25.0,24.0,1,2
2019-01-15 04:00:00,20031.234440499997,26.0,24.0,1,2
2019-01-15 05:00:00,19837.559733000002,27.0,25.0,1,2
2019-01-15 06:00:00,19726.463347000008,27.0,25.0,1,2
2019-01-15 07:00:00,19625.957128666676,27.0,25.0,1,2
2019-01-15 08:00:00,19526.189453333336,28.0,26.0,1,2
2019-01-15 09:00:00,19614.353483166673,29.0,27.0,1,2
2019-01-15 10:00:00,19352.213314333334,31.0,29.0,1,2
2019-01-15 11:00:00,20580.046419000002,31.0,29.0,1,2
2019-01-15 12:00:00,21976.550000333333,31.0,29.0,1,2
2019-01-15 13:00:00,23021.107389166667,30.5,28.5,1,2
2019-01-15 14:00:00,23712.51149083334,30.0,28.0,1,2
2019-01-15 15:00:00,24173.239160666664,30.0,29.0,1,2
